_id,strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strInstructions,strIngList
342,Lassi Khara,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg,Highball Glass,Yoghurt,Water,Salt,Asafoetida,,,,,,,,,1 cup,2 cups cold,1 tsp,1 pinch,,,,,,,,,Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,"[""Yoghurt"", ""Water"", ""Salt"", ""Asafoetida""]"
343,Lassi Raita,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg,Highball Glass,Yoghurt,Ice,Sugar,Lime,Salt,,,,,,,,2 cups,6-Apr,,,,,,,,,,,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.","[""Yoghurt"", ""Ice"", ""Sugar"", ""Lime"", ""Salt""]"
344,Lemon Drop,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg,Cocktail glass,Absolut Vodka,Cointreau,Lemon,,,,,,,,,,1 1/2 shot,1 1/2 shot,Juice of 1 wedge,,,,,,,,,,Shake and strain into a chilled cocktail glass rimmed with sugar.,"[""Absolut Vodka"", ""Cointreau"", ""Lemon""]"
345,Lemon Shot,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg,Shot glass,Galliano,Absolut Citron,Lemon,Sugar,151 Proof Rum,,,,,,,,1/2 oz,1/2 oz,wedge,Bacardi,,,,,,,,,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.","[""Galliano"", ""Absolut Citron"", ""Lemon"", ""Sugar"", ""151 Proof Rum""]"
346,Lemouroudji,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg,Highball Glass,Ginger,Water,Lemon,Sugar,Cayenne Pepper,,,,,,,,2 pieces,1 gal,1 lb,1 cup,ground,,,,,,,,"Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.","[""Ginger"", ""Water"", ""Lemon"", ""Sugar"", ""Cayenne Pepper""]"
347,Limeade,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg,Highball glass,Lime,Sugar,Soda Water,Lime Peel,,,,,,,,,Juice of 1,1 tblsp,(seltzer water),,,,,,,,,,"In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.","[""Lime"", ""Sugar"", ""Soda Water"", ""Lime Peel""]"
348,Limona Corona,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg,Beer Glass,Corona,Bacardi Limon,,,,,,,,,,,1 bottle,1 oz,,,,,,,,,,,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.","[""Corona"", ""Bacardi Limon""]"
349,Loch Lomond,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg,Cocktail glass,Scotch,Drambuie,Dry Vermouth,Lemon Peel,,,,,,,,,2 oz,1/2 oz,1/2 oz,1 twist of,,,,,,,,,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.","[""Scotch"", ""Drambuie"", ""Dry Vermouth"", ""Lemon Peel""]"
350,London Town,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg,Cocktail glass,Gin,Maraschino Liqueur,Orange Bitters,,,,,,,,,,1 1/2 oz,1/2 oz,2 dashes,,,,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","[""Gin"", ""Maraschino Liqueur"", ""Orange Bitters""]"
351,Lone Tree Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg,Cocktail glass,Sweet Vermouth,Gin,,,,,,,,,,,3/4 oz,1 1/2 oz,,,,,,,,,,,"Stir ingredients with ice, strain into a cocktail glass, and serve.","[""Sweet Vermouth"", ""Gin""]"
